2026-02-03 21:28:48 | WARN | api | Elevated error rate observed window_s=30 rate=7.1% (env=prod, region=ap-southeast-1, ip=145.59.38.113, request_id=6w80gc2tv433r4yd, trace_id=lh7b6c9sad9qsyk60mnh2lel, ua="curl/8.4.0")
2026-02-03 21:51:30 | WARN | api | Circuit breaker half-open dependency=stripe (env=prod, region=eu-west-1, ip=239.163.154.210, request_id=vewr2ouo48xkeu8a, trace_id=p3uxamyq1i9tbhtx5p8ir7gt, ua="curl/8.4.0")
2026-02-03 21:52:51 | WARN | api | Circuit breaker half-open dependency=s3 (env=prod, region=eu-west-1, ip=166.57.74.231, request_id=hlwdy2zh0pyhtyox, trace_id=mbjmrl4t18oj433wxcq19edt, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 21:53:20 | WARN | api | Circuit breaker half-open dependency=orders-api (env=prod, region=eu-west-1, ip=105.8.195.230, request_id=dz4ir8bcq4gwa9bl, trace_id=4jn3sht7vagvx0dfgwbw3luf, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 21:54:33 | WARN | api | Slow response detected (3459ms) endpoint=/notifications/push (env=staging, region=ap-southeast-1, ip=184.235.194.248, request_id=2efiej9e1cpvhhay, trace_id=nb5rej2fnodr1ay7oocelwsy, ua="PostmanRuntime/7.36.0")
2026-02-03 21:58:05 | WARN | api | High memory usage warning mem=75% (env=staging, region=me-south-1, ip=58.131.222.24, request_id=knckpqevy2454fgn, trace_id=tafthc1ndmwpyhzuyzqspitx, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-03 21:59:14 | WARN | api | Disk usage above 80% disk=86% (env=prod, region=eu-west-1, ip=5.13.217.193, request_id=u3njztyfd9dyy3hx, trace_id=52l0lxu2g7zm0lzynh8vhvtj, ua="PostmanRuntime/7.36.0")
2026-02-03 22:04:34 | WARN | api | Circuit breaker half-open dependency=orders-api (env=dev, region=us-east-1, ip=178.16.62.142, request_id=yqfdudqkss0z7mfj, trace_id=swgex7ag22qx7psgap07uxlg, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 22:05:29 | WARN | api | Rate limit nearing threshold remaining=11 (env=staging, region=me-south-1, ip=11.91.51.179, request_id=rmc0h1ayi7y1vktk, trace_id=0lk91s72capvambqqq40laa9, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 22:05:50 | WARN | api | Slow response detected (2645ms) endpoint=/health (env=prod, region=me-south-1, ip=70.185.24.213, request_id=t7gpghg3s6za4vcr, trace_id=0gcz7doibv6qy9nmnv1ep4xy, ua="curl/8.4.0")
2026-02-03 22:09:15 | WARN | api | Retrying request to upstream service attempt=4 (env=prod, region=us-east-1, ip=43.207.61.215, request_id=iwysj1qi4g52kzac, trace_id=fcnfcx0ou7m8epn9f8e6pekp, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-03 22:09:48 | WARN | api | Slow response detected (3209ms) endpoint=/files/upload (env=prod, region=us-east-1, ip=119.113.170.154, request_id=fs9lj7t6vyd3424e, trace_id=2w2dclg4bhjr8wwwk9m5usvk, ua="PostmanRuntime/7.36.0")
2026-02-03 22:17:11 | WARN | api | Disk usage above 80% disk=97% (env=staging, region=eu-west-1, ip=134.231.162.17, request_id=8x8ewe2bofctg2gc, trace_id=pwrhw0wkp29x10fesyfa7iq8, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 22:17:24 | WARN | api | High memory usage warning mem=68% (env=prod, region=us-east-1, ip=213.228.41.202, request_id=fr49la2mryisfww6, trace_id=xscdwmur52p8sa0ewawk9ci5, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 22:17:38 | WARN | api | Slow response detected (104ms) endpoint=/search?q=headphones (env=prod, region=us-east-1, ip=117.107.223.158, request_id=oxn8q484x9h8yg5a, trace_id=t0xab1vtzthearq8xy4nd2f1, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 22:20:31 | WARN | api | High memory usage warning mem=91% (env=staging, region=eu-west-1, ip=192.138.152.183, request_id=uozz6jfi7q5yof7o, trace_id=q4he96ae7uac2j4xmm2zwhx1, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 22:21:54 | WARN | api | Disk usage above 80% disk=99% (env=prod, region=us-east-1, ip=72.9.97.117, request_id=qiletp4ht90ad6hb, trace_id=au2swrp0zyts8nm46rfa2yjf, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 22:23:44 | WARN | api | Disk usage above 80% disk=85% (env=prod, region=me-south-1, ip=111.99.46.42, request_id=lqf5qxxb6cnsw1og, trace_id=vjyc7x4xhosnigkl5ma9do01, ua="PostmanRuntime/7.36.0")
2026-02-03 22:25:55 | WARN | api | Circuit breaker half-open dependency=stripe (env=prod, region=me-south-1, ip=165.76.55.39, request_id=8q7htm6ap327ojoz, trace_id=o71871cbvqv906yuvm2d7bgz, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 22:29:13 | WARN | api | High memory usage warning mem=61% (env=prod, region=eu-west-1, ip=50.68.250.174, request_id=kwvaq2571d33h4k0, trace_id=98em3oifhacoctx3y3etrxz6, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 22:33:29 | WARN | api | Slow response detected (3190ms) endpoint=/admin/config (env=staging, region=eu-west-1, ip=112.178.106.198, request_id=w77c2lvz1n28v4sd, trace_id=uhbmnd0xn0mkmze01zcw07sq, ua="PostmanRuntime/7.36.0")
2026-02-03 22:33:32 | WARN | api | Rate limit nearing threshold remaining=40 (env=dev, region=ap-southeast-1, ip=210.34.159.70, request_id=0xhjr5okox89njh9, trace_id=ymrtm7i10l3q7nljax9r73ot, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 22:35:57 | WARN | api | Temporary network jitter detected rtt_ms=790 (env=prod, region=us-east-1, ip=153.57.178.107, request_id=9cf7cc03le3k9scj, trace_id=2wnzxkdqzkdo1m1iv99k7r2b, ua="curl/8.4.0")
2026-02-03 22:36:35 | WARN | api | Elevated error rate observed window_s=60 rate=11.6% (env=prod, region=me-south-1, ip=194.223.196.161, request_id=ue4f7c4pk3ky62zh, trace_id=t05nveewi57wbh3bkv6w37aw, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 22:36:48 | WARN | api | Temporary network jitter detected rtt_ms=270 (env=prod, region=ap-southeast-1, ip=80.206.203.151, request_id=s7kt1dx1pp3idi2i, trace_id=g9rs6mj6qewintp9ff046s8w, ua="PostmanRuntime/7.36.0")
2026-02-03 22:39:19 | WARN | api | Slow response detected (1427ms) endpoint=/search?q=phone (env=prod, region=ap-southeast-1, ip=57.196.8.87, request_id=0daxqtnx06dwnu6x, trace_id=g274teqm4x8kiuho2aedttby, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 22:39:49 | WARN | api | Disk usage above 80% disk=87% (env=staging, region=us-east-1, ip=204.250.215.211, request_id=uj0t0uuaryb0z5wh, trace_id=wndzdu5jilm87lcvjmkpbruz, ua="PostmanRuntime/7.36.0")
2026-02-03 22:40:06 | WARN | api | Retrying request to upstream service attempt=3 (env=dev, region=me-south-1, ip=43.241.76.8, request_id=8hk6lcs0mfmivumh, trace_id=p2rfx3i7uut0k2xfn0tumbkd, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 22:40:20 | WARN | api | Retrying request to upstream service attempt=3 (env=prod, region=eu-west-1, ip=88.19.241.239, request_id=1efdg5hjohjbhhri, trace_id=du8nelryotd8qkjz4em4bm8a, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 22:41:27 | WARN | api | Payment provider latency high (3445ms) (env=prod, region=ap-southeast-1, ip=219.16.14.80, request_id=urtakzb10y5c7scg, trace_id=h48pmfwovl4eu41nljzrk22f, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 22:41:55 | WARN | api | Queue backlog growing size=489 (env=prod, region=me-south-1, ip=253.62.34.72, request_id=vheyxt1remvkjgkc, trace_id=rnxhmjsohaz2z0krrip118r0, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 22:44:25 | WARN | api | Disk usage above 80% disk=86% (env=staging, region=me-south-1, ip=150.35.72.186, request_id=x282er58rbkvjiil, trace_id=d3tc63apstgf96gd401fat8m, ua="curl/8.4.0")
2026-02-03 22:45:03 | WARN | api | Circuit breaker half-open dependency=payments-api (env=dev, region=me-south-1, ip=141.233.104.250, request_id=ee784x144qr67awy, trace_id=6hvjfppho489i7qko3vkvkyp, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 22:47:13 | WARN | api | Disk usage above 80% disk=84% (env=dev, region=ap-southeast-1, ip=249.215.59.79, request_id=8jxqvd8363lpvphn, trace_id=kmbtj6n4sqifya8cwhmjaq5u, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-03 22:48:09 | WARN | api | Queue backlog growing size=1710 (env=prod, region=me-south-1, ip=241.23.221.35, request_id=pxoyes7w50ew29us, trace_id=2v77z6vz4palakyw48h2ckc4, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 22:49:55 | WARN | api | Queue backlog growing size=5830 (env=staging, region=me-south-1, ip=1.121.41.21, request_id=ciud8n8e7ht9qh7q, trace_id=qnnkimh7nlbxiwca8alm2i2y, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 22:53:03 | WARN | api | High memory usage warning mem=61% (env=prod, region=us-east-1, ip=123.227.142.63, request_id=uzkbmtbbbevcfejw, trace_id=o8wgbi1qfl7escom9pw8a5n8, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 22:54:51 | WARN | api | Retrying request to upstream service attempt=3 (env=dev, region=eu-west-1, ip=220.115.78.27, request_id=snof2r1bu289hjbe, trace_id=wo4c6mg7pb0cn4kcqge6ah6g, ua="curl/8.4.0")
2026-02-03 22:55:35 | WARN | api | Rate limit nearing threshold remaining=38 (env=prod, region=us-east-1, ip=166.193.198.242, request_id=hrdkj61hbf74e81o, trace_id=iomr7ou17ugz9g495ebyz023, ua="curl/8.4.0")
2026-02-03 22:55:59 | WARN | api | Circuit breaker half-open dependency=postgres (env=prod, region=me-south-1, ip=114.162.153.22, request_id=qnndr80rhwearsl7, trace_id=g55nhu4q0nzyckww5iujqxb4, ua="curl/8.4.0")
2026-02-03 22:57:18 | WARN | api | Retrying request to upstream service attempt=2 (env=prod, region=us-east-1, ip=98.1.201.218, request_id=6eio7bx4du3sd90n, trace_id=xunf2rgasdt5qr6wgvjvtu73, ua="curl/8.4.0")
2026-02-03 22:58:18 | WARN | api | Slow response detected (1788ms) endpoint=/logout (env=dev, region=eu-west-1, ip=32.31.159.237, request_id=3wtwemfy1bmuiqxz, trace_id=ty4ealkfajdwuitgvw5h4bar, ua="curl/8.4.0")
2026-02-03 22:58:47 | WARN | api | Disk usage above 80% disk=92% (env=staging, region=ap-southeast-1, ip=60.8.131.14, request_id=i4i96u3uumuawzdg, trace_id=mm4d8tt9yx4i0wuv27wd39ov, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 22:59:39 | WARN | api | Elevated error rate observed window_s=60 rate=4.8% (env=dev, region=us-east-1, ip=6.111.176.72, request_id=ory5fr25tn8ycy5r, trace_id=oh0018j0e1zkyw4q4repe4ae, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 23:01:53 | WARN | api | Payment provider latency high (3336ms) (env=staging, region=ap-southeast-1, ip=77.76.116.113, request_id=2ktcytpmbtwxfpw3, trace_id=5nuogd8novx827jimlfywiws, ua="curl/8.4.0")
2026-02-03 23:06:23 | WARN | api | Payment provider latency high (988ms) (env=staging, region=eu-west-1, ip=31.92.191.169, request_id=3bb5bvjda7is3js5, trace_id=7sscyctu1cppf27yfa9twat7, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 23:06:49 | WARN | api | Circuit breaker half-open dependency=postgres (env=dev, region=me-south-1, ip=50.98.207.6, request_id=9ke021ep5brycc17, trace_id=qr1ssy6tt25hi84ntiyrs8tv, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 23:06:51 | WARN | api | Retrying request to upstream service attempt=5 (env=prod, region=me-south-1, ip=170.31.110.85, request_id=4nd3bmkn0st2rvup, trace_id=vuk2t0v0c6oon5rwef1gxuh7, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 23:06:52 | WARN | api | Elevated error rate observed window_s=30 rate=6.3% (env=dev, region=us-east-1, ip=167.33.208.52, request_id=5ajdksnrv6d0y7c1, trace_id=ves2rm550o7ar64yf4zv9rzw, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 23:07:23 | WARN | api | High memory usage warning mem=82% (env=staging, region=ap-southeast-1, ip=247.83.80.204, request_id=zlyqs1ts2e7at90r, trace_id=ot48god6mt61rspv1khoacek, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 23:09:24 | WARN | api | Queue backlog growing size=1041 (env=staging, region=eu-west-1, ip=31.76.99.115, request_id=yxko4pb01sdzsryk, trace_id=9epqm5177w0g4bn4jh9kzli6, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 23:10:05 | WARN | api | Disk usage above 80% disk=93% (env=staging, region=me-south-1, ip=115.187.150.29, request_id=vsr29osvms4ckzxh, trace_id=86wqj2160oeo2hdvxguehrh2, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-03 23:14:47 | WARN | api | High memory usage warning mem=86% (env=dev, region=ap-southeast-1, ip=107.25.93.135, request_id=l5rzm6ml2oq4huch, trace_id=igxaz2aqa96b87csy3fntrb8, ua="PostmanRuntime/7.36.0")
2026-02-03 23:14:51 | WARN | api | Retrying request to upstream service attempt=2 (env=prod, region=eu-west-1, ip=164.163.113.248, request_id=tae8nohrr2swtrky, trace_id=6c33c5x3yolwz8gpugh57bng, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-03 23:19:21 | WARN | api | Circuit breaker half-open dependency=stripe (env=prod, region=us-east-1, ip=196.147.60.220, request_id=rjfi569mfcffxapj, trace_id=oh6bt26fsti1vqwvy39seen5, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 23:19:25 | WARN | api | Payment provider latency high (259ms) (env=prod, region=us-east-1, ip=250.102.85.132, request_id=ccnmztuq946kfpay, trace_id=jolb12kbk81jeb63fjs2soqx, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 23:20:03 | WARN | api | Slow response detected (1857ms) endpoint=/analytics/event (env=prod, region=ap-southeast-1, ip=84.148.98.104, request_id=vmdeuygyjuixaw5p, trace_id=z3lhkpouzwr4nwyjlxm9ylji, ua="PostmanRuntime/7.36.0")
2026-02-03 23:20:08 | WARN | api | High memory usage warning mem=63% (env=prod, region=eu-west-1, ip=157.104.180.240, request_id=y99ibo890iwzht13, trace_id=ixjyigtvvv7at9go28n8tnnm, ua="PostmanRuntime/7.36.0")
2026-02-03 23:27:46 | WARN | api | Temporary network jitter detected rtt_ms=570 (env=staging, region=me-south-1, ip=128.192.179.96, request_id=y1smjr7uqvxor7vm, trace_id=uruyki2jqi12olkk16qq02nc, ua="PostmanRuntime/7.36.0")
2026-02-03 23:30:41 | WARN | api | High memory usage warning mem=98% (env=prod, region=eu-west-1, ip=183.14.223.33, request_id=vtcxxecrgdbze4i7, trace_id=1kkrltexoc21cfshlkwm3irf, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-03 23:32:07 | WARN | api | High memory usage warning mem=85% (env=staging, region=us-east-1, ip=228.203.177.239, request_id=5zb8i80p97n6y6vx, trace_id=hd3kfip6qvvkg5to54x170uo, ua="curl/8.4.0")
2026-02-03 23:32:40 | WARN | api | Slow response detected (112ms) endpoint=/logout (env=prod, region=me-south-1, ip=61.21.228.24, request_id=biszr844t23217as, trace_id=3l9xgb65mlr0qj9m67nnuohg, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 23:33:11 | WARN | api | Payment provider latency high (2749ms) (env=staging, region=eu-west-1, ip=20.17.234.81, request_id=lsx6nitr0bgrjy9c, trace_id=4jwu7k19thvbsnyobs8gdr81, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 23:33:13 | WARN | api | High memory usage warning mem=68% (env=prod, region=eu-west-1, ip=150.252.9.186, request_id=8iw8ewkc1cc8z9av, trace_id=7gq74lair1rqfo140utzn5u3, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 23:33:14 | WARN | api | Disk usage above 80% disk=83% (env=prod, region=ap-southeast-1, ip=238.221.195.121, request_id=dst3etv08fotuxz2, trace_id=sb3ngj5z64jvkcuydxbqv1b1, ua="curl/8.4.0")
2026-02-03 23:34:54 | WARN | api | Elevated error rate observed window_s=30 rate=12.8% (env=prod, region=us-east-1, ip=118.216.208.15, request_id=qnl5zuwmf5ykd6qk, trace_id=l1t8esplp1pdxgt0w3f6tio3, ua="PostmanRuntime/7.36.0")
2026-02-03 23:37:48 | WARN | api | Circuit breaker half-open dependency=stripe (env=prod, region=eu-west-1, ip=103.239.14.200, request_id=1irw3paa1muk2ncw, trace_id=y60581sai1fwn37a7zkgjl18, ua="curl/8.4.0")
2026-02-03 23:38:19 | WARN | api | Retrying request to upstream service attempt=3 (env=prod, region=ap-southeast-1, ip=234.230.124.28, request_id=3ap2zy2wl7hj6vkf, trace_id=lamhqd76ffkxawnel1zrt6nl, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 23:40:42 | WARN | api | Queue backlog growing size=5379 (env=prod, region=eu-west-1, ip=97.101.86.122, request_id=hp2fecypixug6q96, trace_id=frbil9kp90rf91hfzwkx4l3g, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 23:41:44 | WARN | api | Rate limit nearing threshold remaining=29 (env=staging, region=me-south-1, ip=194.19.31.12, request_id=ndrzmlnajppaho0d, trace_id=bvwtgtelo03vo09u3luzo0uq, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 23:41:57 | WARN | api | Disk usage above 80% disk=99% (env=prod, region=me-south-1, ip=14.8.26.159, request_id=sc36ylj3b2s6m3z4, trace_id=2sg3vdfau3ukzuxdoz2dms2z, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 23:42:18 | WARN | api | Payment provider latency high (2238ms) (env=prod, region=us-east-1, ip=77.186.76.209, request_id=16ojafdat3bbusgf, trace_id=wccgw4mqo23g7gljxx9qyk9f, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 23:47:06 | WARN | api | Slow response detected (1075ms) endpoint=/inventory/SKU94289 (env=prod, region=me-south-1, ip=76.239.181.17, request_id=yk7q6zghlm3yacaf, trace_id=gy5rnpxhfihvbc2ig7duv8vu, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-03 23:47:18 | WARN | api | High memory usage warning mem=81% (env=prod, region=us-east-1, ip=23.156.100.39, request_id=kwvc5f4lqxw3ebjl, trace_id=lpznkljazsbstkpva2iz79he, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 23:49:25 | WARN | api | Rate limit nearing threshold remaining=18 (env=prod, region=ap-southeast-1, ip=78.226.150.109, request_id=btqkjk2xj32yfuk7, trace_id=dqp9xujjkwpuif1766oxgxhm, ua="PostmanRuntime/7.36.0")
2026-02-03 23:50:00 | WARN | api | Circuit breaker half-open dependency=payments-api (env=prod, region=eu-west-1, ip=190.147.2.93, request_id=i04am87u0cn3ha0n, trace_id=jsqjyr7v7d0mh42e695zoafg, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 23:55:42 | WARN | api | High memory usage warning mem=65% (env=dev, region=eu-west-1, ip=45.8.16.232, request_id=1n1z2ycls2z6z46s, trace_id=5uuzwbs6lsz3ailngsp6drl6, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 23:55:48 | WARN | api | High memory usage warning mem=74% (env=prod, region=me-south-1, ip=206.93.78.90, request_id=9dlnmeqj0jcn1bdr, trace_id=4rw3dds9gsm2xxkjgtxgatsi, ua="curl/8.4.0")
2026-02-03 23:59:35 | WARN | api | Disk usage above 80% disk=99% (env=prod, region=us-east-1, ip=39.11.35.217, request_id=esfbdba7jhczl5sp, trace_id=405y1rbfx1udx9c0p9itprhi, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-04 00:00:24 | WARN | api | Temporary network jitter detected rtt_ms=307 (env=prod, region=me-south-1, ip=197.115.36.75, request_id=cgmdvg87425zor06, trace_id=nr7ol8fasu64gx4mp6sg2hef, ua="PostmanRuntime/7.36.0")
2026-02-04 00:01:35 | WARN | api | Rate limit nearing threshold remaining=19 (env=prod, region=eu-west-1, ip=158.139.45.214, request_id=lm8k4yy9ebjl4ggd, trace_id=8bsnmmoksaw37uyf04ciiynm, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-04 00:02:25 | WARN | api | Retrying request to upstream service attempt=4 (env=dev, region=us-east-1, ip=186.157.105.117, request_id=fqz3iss17kiezt98, trace_id=k3u3trjfz1zka3387j57my9h, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-04 00:02:41 | WARN | api | Temporary network jitter detected rtt_ms=546 (env=prod, region=eu-west-1, ip=143.203.100.241, request_id=wxhhn3y0f95b7ozg, trace_id=dasojbjsqe0aez8o15n6ypu4, ua="PostmanRuntime/7.36.0")
2026-02-04 00:02:53 | WARN | api | Slow response detected (3327ms) endpoint=/orders/5056 (env=dev, region=ap-southeast-1, ip=202.115.244.130, request_id=i94rygjc40z19hfc, trace_id=q63d9ryyvfio72ts2kh8uo1p, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-04 00:04:16 | WARN | api | Disk usage above 80% disk=94% (env=prod, region=me-south-1, ip=171.207.6.193, request_id=q7vct1ukbpi47284, trace_id=u1baztosq4o0iqd3kcewz5wh, ua="curl/8.4.0")
